[00:01] 我们说一下这个漫居系统的一个完整的一个情况
[00:06] 就是这个漫居系统
[00:08] 然后它分为一个就是AR短剧的创作平台
[00:12] 它分为前台和后台
[00:14] 然后前台登录进去是进行一个
[00:17] 我们的整个漫剧的完整的流程制作
[00:21] 然后后台是设置一些相关的内容
[00:24] 那我具体来开始先说一下
[00:26] 我们先登录前台
[00:28] 登录一个我这边自己的帐号
[00:31] 再进入到这个界面以后
[00:35] 我们可以在这里调整
[00:37] 项目的展示情况
[00:40] 然后可以搜索项目
[00:41] 我也可以新建项目
[00:42] 新建项目以后分为
[00:44] 比如说我要做一个项目的意思
[00:48] 就是我要比如说要做一个漫剧了
[00:50] 这个漫剧可能有很多题
[00:52] 那么我就把它归为一个项目
[00:54] 然后它这里有一个私有和对足可见
[00:57] 这个其实目前的逻辑设计
[01:01] 它就是说这个项目是我私有的
[01:04] 还是我可以分享给成员的
[01:06] 我觉得这个地方可以改一下
[01:08] 理论上来说我这个项目在新建的时候
[01:13] 我应该是可以直接设置我自由
[01:17] 那就是把我自己家具取就行
[01:20] 就是默认的话就是我自由了
[01:22] 然后对足可见这个其实我
[01:25] 我觉得应该设置成一个
[01:27] 在里面加平台的成员就可以了
[01:29] 那这样的话就会很方便的控制权限
[01:32] 我什么时间可以看得到这个项目
[01:35] 然后是根据成员范围来的
[01:38] 如果我需要把谁移出去
[01:40] 他也可以移出去
[01:41] 只是他所有做的东西
[01:43] 保留在平台里面就可以了
[01:45] 那么在这里我可以创建项目
[01:46] 创建完项目以后
[01:47] 他就会多一个项目的卡
[01:49] 那么在这个项目卡里面
[01:51] 点进去就会看到这个项目
[01:53] 对于制作的一个情况
[01:54] 然后这可以返回
[01:56] 然后这个我觉得是OK的
[01:58] 然后他也支持
[02:00] 就是说我们进行一些操作
[02:01] 包括规短
[02:02] 共享和删除
[02:04] 然后这里里面每一集
[02:06] 他也支持我们进行一个复制
[02:09] 删除 重命名等等操作
[02:11] 这里可以调整
[02:12] 就是它的展示形式
[02:14] 在我们对应的项目里面
[02:17] 如果我们进入到里面
[02:18] 我们就可以来具体的建分极了
[02:21] 每一个建分极
[02:22] 比如说我每一个建极的话
[02:26] 我就可以创建不同的极数
[02:28] 比如说我现在开始制作第一集
[02:30] 他分了两种制作模式
[02:32] 这个我觉得是很OK的和合理的
[02:35] 那么他分为一种流程化制作
[02:38] 就这个流程化制作
[02:39] 我就会进入到一个
[02:41] 流程化制作制作的这样一个界面里面
[02:45] 而如果说他用自由创作
[02:47] 我就会进入到自由创作的这个
[02:49] 一个界面里面
[02:50] 自由创作的话
[02:51] 他这边主要是confirmUI的功能
[02:55] 那么这个的话我简单说一下
[02:57] 因为我们主要还是用流程化制作
[03:01] 这个的话就是
[03:02] 我可以在这边加入这四种界面
[03:04] 比如说我加一个剧本
[03:05] 在里面输入对应的内容
[03:07] 然后我希望这个剧本
[03:09] 它根据前面内容
[03:10] 它直接生成一个图片
[03:12] 我就把它连起来
[03:13] 连起来以后
[03:15] 后面又根据图片
[03:17] 然后直接生成视频
[03:18] 比如说不要音频了
[03:19] 我就直接给它这样再连起来
[03:22] 然后如果说我希望
[03:23] 就是说同步的视频
[03:26] 它在生成音频
[03:28] 来给后面的视频用
[03:30] 我又可以这样连
[03:31] 那么它这里就可以根据一个要求
[03:34] 就是做我自定义的一个流程
[03:37] 然后最近流程
[03:38] 它也支持输入AI的这个指令
[03:40] 然后比如说生成图片
[03:42] 生成什么来
[03:43] 实现我对应的功能操作
[03:44] 这里也支持调用就是
[03:47] 外部的API
[03:49] 或者调用我们的GPU的一个集群
[03:51] 这两种方式来共同实现这个功能
[03:54] 然后这些
[03:56] 这个功能做了修复
[03:57] 原来它是用不了的
[03:59] 然后连接都连不通的
[04:02] 现在做了修复
[04:03] 然后它是完整了
[04:04] 然后这个功能我觉得可以保留
[04:06] 但是这个功能我建议是
[04:08] 用一个标准化的
[04:10] confirmUI的
[04:11] confirmUI的功能来提诞
[04:15] 然后做一个新的
[04:16] 就是可以更复杂的
[04:18] 更标准化的编程的一个模式
[04:20] 这个是一个简版的
[04:22] 其实用起来不算方便
[04:23] 而且它生成的东西在这里看不到的
[04:26] 它生成的东西全部会进入到
[04:28] 流程化制作里面的素材里面
[04:31] 素材库里面
[04:32] 所以我们一般来说还是
[04:34] 目前这里的话
[04:36] 它是保留两个功能
[04:37] 我觉得也可以在我们的产品里面
[04:40] 应该是要包含这两个功能的
[04:42] 但是核心应该是
[04:44] 只需要一个流程化制作就可以了
[04:46] 我们可以看一下
[04:47] 流程化制作新进来的时候
[04:49] 这个地方是空白的
[04:51] 这个地方是空白的话
[04:53] 我们实际上第一步
[04:55] 就是在这贴一个原创的剧本内容
[04:57] 我先从第一集这边来看一下
[04:59] 这个就是我贴进来的剧本内容
[05:02] 贴进来的剧本内容
[05:04] 我把它放到第二集里面再试一次
[05:07] 把它放进来以后
[05:08] 这个是我分好的剧本内容
[05:11] 然后这里有一个分析
[05:12] 分析原来的逻辑是
[05:14] 我可以在这新建对应的分析
[05:17] 直接上传我们的文档
[05:19] 它就可以直接把文档里面内容
[05:22] 放到新建分析
[05:23] 这个文档里面没有内容
[05:24] 第二种是可以拖动或上传一个TXT文件
[05:28] 试过了PDF和Word的
[05:29] 都不支持DOC文件
[05:31] 都不支持只能拖TXT进来
[05:34] 那么拖进来这个方式不太合适
[05:36] 我觉得在系统里面
[05:37] 可以把这个评较
[05:38] 不需要这个功能
[05:40] 然后原来它这里的逻辑是
